UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15324333     PULS   1695 
     15324335     PULS   1695 
     15324337     PULS   1695 
     15324339     PULS   1695 
     15324341     PULS   1683 
     15324343     PULS   1707 
     15324345     PULS   1707 
     15324347     PULS   1719 
     15324349     PULS   1719 
     15324351     PULS   1730 
     15324353     PULS   1730 
     15324355     PULS   1754 
     15324357     PULS   1777 
     15324359     PULS   1801 
     15324361     PULS   1813 
     15324363     PULS   1824 
     15324365     PULS   1824 
     15324367     PULS   1824 
     15324369     PULS   1824 
     15324371     PULS   1836 
     15324373     PULS   1824 
     15324375     PULS   1824 
     15324377     PULS   1824 
     15324379     PULS   1824 
     15324381     PULS   1824 
     15324383     PULS   1813 
     15324385     PULS   1801 
     15324387     PULS   1777 
     15324389     PULS   1766 
     15324391     PULS   1730 
     15324393     PULS   1719 
     15324395     PULS   1707 
     15324397     PULS   1695 
     15324399     PULS   1683 
     15324401     PULS   1648 
     15324403     PULS   1636 
     15324405     PULS   1613 
     15324407     PULS   1601 
     15324409     PULS   1589 
     15324411     PULS   1578 
     15324413     PULS   1578 
     15324415     PULS   1589 
     15324417     PULS   1613 
     15324419     PULS   1636 
     15324421     PULS   1660 
     15324423     PULS   1683 
     15324425     PULS   1707 
     15324427     PULS   1719 
     15324429     PULS   1730 
     15324431     PULS   1742 
     15324433     PULS   1730 
     15324435     PULS   1719 
     15324437     PULS   1695 
     15324439     PULS   1648 
     15324441     PULS   1625 
     15324443     PULS   1589 
     15324445     PULS   1554 
     15324447     PULS   1531 
     15324449     PULS   1531 
     15324451     PULS   1507 
     15324453     PULS   1495 
     15324455     PULS   1495 
     15324457     PULS   1507 
     15324459     PULS   1507 
     15324461     PULS   1519 
     15324463     PULS   1542 
     15324465     PULS   1554 
     15324467     PULS   1554 
     15324469     PULS   1578 
     15324471     PULS   1578 
     15324473     PULS   1578 
     15324475     PULS   1566 
     15324477     PULS   1554 
     15324479     PULS   1554 
     15324481     PULS   1554 
     15324483     PULS   1566 
     15324485     PULS   1566 
     15324487     PULS   1589 
